Drug_Name,Target_Gene,Target_Protein,Condition,Therapeutic_Class,Mechanism_of_Action,Clinical_Trial_Phase,Status
Drug_839,Gene_317,Protein_92,Psychosis,NaSSA,Mechanism_3,Phase 1,Approved
Drug_840,Gene_85,Protein_208,Psychosis,Beta-Blocker,Mechanism_184,Phase 2,Experimental
Drug_841,Gene_261,Protein_66,Psychosis,Azapirone,Mechanism_182,Preclinical,Approved
Drug_842,Gene_217,Protein_83,Psychosis,Psychedelic,Mechanism_27,Phase 1,Investigational
Drug_843,Gene_477,Protein_183,Anxiety,Azapirone,Mechanism_199,Preclinical,Approved
Drug_844,Gene_299,Protein_199,Anxiety,NDRI,Mechanism_43,Approved,Investigational
Drug_845,Gene_80,Protein_19,Depression,Benzodiazepine,Mechanism_13,Phase 2,Investigational
Drug_846,Gene_134,Protein_78,Psychosis,Azapirone,Mechanism_174,Approved,Experimental
Drug_847,Gene_3,Protein_176,Depression,NaSSA,Mechanism_54,Preclinical,Experimental
Drug_848,Gene_156,Protein_257,Anxiety,Azapirone,Mechanism_26,Phase 1,Investigational
Drug_849,Gene_457,Protein_131,Psychosis,Azapirone,Mechanism_65,Phase 2,Investigational
Drug_850,Gene_280,Protein_287,Depression,Azapirone,Mechanism_104,Preclinical,Investigational
Drug_851,Gene_444,Protein_288,Anxiety,Azapirone,Mechanism_161,Phase 3,Approved
Drug_852,Gene_77,Protein_283,Psychosis,Psychedelic,Mechanism_68,Phase 2,Experimental
Drug_853,Gene_498,Protein_54,Depression,Glutamatergic Modulator,Mechanism_158,Phase 2,Experimental
Drug_854,Gene_347,Protein_77,Depression,Azapirone,Mechanism_7,Phase 1,Investigational
Drug_855,Gene_366,Protein_97,Anxiety,Azapirone,Mechanism_169,Phase 3,Investigational
Drug_856,Gene_177,Protein_116,Psychosis,SNRI,Mechanism_64,Preclinical,Experimental
Drug_857,Gene_191,Protein_34,Depression,NaSSA,Mechanism_108,Approved,Experimental
Drug_858,Gene_131,Protein_102,Psychosis,NDRI,Mechanism_111,Preclinical,Investigational
Drug_859,Gene_134,Protein_235,Psychosis,Glycine Modulator,Mechanism_117,Phase 1,Investigational
Drug_860,Gene_425,Protein_176,Depression,Psychedelic,Mechanism_87,Phase 3,Experimental
Drug_861,Gene_69,Protein_109,Depression,Beta-Blocker,Mechanism_158,Preclinical,Experimental
Drug_862,Gene_47,Protein_152,Depression,Benzodiazepine,Mechanism_87,Phase 1,Investigational
Drug_863,Gene_330,Protein_218,Psychosis,SNRI,Mechanism_134,Phase 2,Investigational
Drug_864,Gene_3,Protein_113,Depression,Atypical Antipsychotic,Mechanism_17,Phase 2,Approved
Drug_865,Gene_430,Protein_116,Psychosis,SNRI,Mechanism_197,Phase 2,Approved
Drug_866,Gene_160,Protein_64,Depression,SNRI,Mechanism_138,Phase 2,Investigational
Drug_867,Gene_385,Protein_253,Depression,Beta-Blocker,Mechanism_139,Phase 2,Experimental
Drug_868,Gene_68,Protein_8,Depression,Beta-Blocker,Mechanism_170,Preclinical,Approved
Drug_869,Gene_200,Protein_193,Psychosis,Atypical Antipsychotic,Mechanism_15,Phase 1,Experimental
Drug_870,Gene_240,Protein_71,Anxiety,Atypical Antipsychotic,Mechanism_126,Approved,Investigational
Drug_871,Gene_488,Protein_136,Psychosis,SNRI,Mechanism_180,Preclinical,Investigational
Drug_872,Gene_223,Protein_167,Psychosis,Glutamatergic Modulator,Mechanism_194,Approved,Approved
Drug_873,Gene_158,Protein_59,Depression,SSRI,Mechanism_37,Phase 2,Investigational
Drug_874,Gene_311,Protein_168,Depression,Azapirone,Mechanism_175,Phase 3,Investigational
Drug_875,Gene_374,Protein_196,Psychosis,SNRI,Mechanism_147,Phase 3,Experimental
Drug_876,Gene_298,Protein_148,Anxiety,SNRI,Mechanism_144,Approved,Experimental
Drug_877,Gene_10,Protein_279,Psychosis,Psychedelic,Mechanism_72,Phase 2,Investigational
Drug_878,Gene_69,Protein_130,Psychosis,NDRI,Mechanism_67,Phase 1,Approved
Drug_879,Gene_69,Protein_273,Depression,Glutamatergic Modulator,Mechanism_95,Preclinical,Experimental
Drug_880,Gene_25,Protein_50,Anxiety,Beta-Blocker,Mechanism_56,Approved,Experimental
Drug_881,Gene_308,Protein_115,Psychosis,Glycine Modulator,Mechanism_63,Approved,Investigational
Drug_882,Gene_113,Protein_278,Anxiety,Azapirone,Mechanism_76,Phase 3,Experimental
Drug_883,Gene_99,Protein_47,Psychosis,Orexin Antagonist,Mechanism_46,Approved,Experimental
Drug_884,Gene_496,Protein_133,Depression,NaSSA,Mechanism_176,Phase 3,Approved
Drug_885,Gene_280,Protein_62,Anxiety,Psychedelic,Mechanism_51,Approved,Experimental
Drug_886,Gene_284,Protein_37,Depression,Azapirone,Mechanism_114,Approved,Investigational
Drug_887,Gene_408,Protein_95,Anxiety,Glycine Modulator,Mechanism_146,Approved,Investigational
Drug_888,Gene_391,Protein_15,Anxiety,Glutamatergic Modulator,Mechanism_182,Phase 2,Experimental
Drug_889,Gene_232,Protein_130,Depression,Azapirone,Mechanism_59,Phase 1,Experimental
Drug_890,Gene_57,Protein_49,Anxiety,NDRI,Mechanism_48,Phase 1,Investigational
Drug_891,Gene_453,Protein_191,Psychosis,NaSSA,Mechanism_139,Approved,Approved
Drug_892,Gene_253,Protein_227,Psychosis,SNRI,Mechanism_194,Phase 1,Approved
Drug_893,Gene_251,Protein_183,Psychosis,NaSSA,Mechanism_168,Phase 1,Investigational
Drug_894,Gene_223,Protein_80,Anxiety,Benzodiazepine,Mechanism_6,Approved,Investigational
Drug_895,Gene_295,Protein_55,Anxiety,Benzodiazepine,Mechanism_147,Phase 3,Experimental
Drug_896,Gene_150,Protein_113,Depression,NaSSA,Mechanism_10,Phase 3,Approved
Drug_897,Gene_183,Protein_187,Psychosis,NDRI,Mechanism_41,Phase 1,Approved
Drug_898,Gene_141,Protein_203,Psychosis,Glycine Modulator,Mechanism_97,Phase 1,Approved
Drug_899,Gene_178,Protein_207,Anxiety,SSRI,Mechanism_41,Phase 1,Experimental
Drug_900,Gene_145,Protein_205,Anxiety,Orexin Antagonist,Mechanism_42,Phase 1,Approved
Drug_901,Gene_305,Protein_16,Psychosis,Benzodiazepine,Mechanism_127,Phase 1,Approved
Drug_902,Gene_482,Protein_106,Depression,Orexin Antagonist,Mechanism_60,Preclinical,Approved
Drug_903,Gene_461,Protein_188,Depression,NaSSA,Mechanism_145,Phase 2,Experimental
Drug_904,Gene_484,Protein_37,Anxiety,Glycine Modulator,Mechanism_150,Phase 3,Approved
Drug_905,Gene_436,Protein_210,Psychosis,Orexin Antagonist,Mechanism_108,Phase 3,Experimental
Drug_906,Gene_161,Protein_198,Anxiety,NaSSA,Mechanism_156,Approved,Approved
Drug_907,Gene_132,Protein_274,Depression,NDRI,Mechanism_133,Preclinical,Investigational
Drug_908,Gene_87,Protein_53,Depression,Atypical Antipsychotic,Mechanism_137,Preclinical,Experimental
Drug_909,Gene_69,Protein_254,Psychosis,Orexin Antagonist,Mechanism_34,Preclinical,Experimental
Drug_910,Gene_178,Protein_262,Depression,Atypical Antipsychotic,Mechanism_103,Phase 3,Investigational
Drug_911,Gene_52,Protein_293,Anxiety,Glycine Modulator,Mechanism_157,Phase 3,Investigational
Drug_912,Gene_355,Protein_247,Depression,Azapirone,Mechanism_199,Phase 3,Experimental
Drug_913,Gene_184,Protein_188,Anxiety,SSRI,Mechanism_92,Phase 1,Approved
Drug_914,Gene_112,Protein_59,Psychosis,SNRI,Mechanism_169,Phase 1,Approved
Drug_915,Gene_365,Protein_168,Psychosis,NDRI,Mechanism_48,Phase 1,Investigational
Drug_916,Gene_314,Protein_79,Anxiety,Atypical Antipsychotic,Mechanism_46,Preclinical,Approved
Drug_917,Gene_283,Protein_72,Depression,Orexin Antagonist,Mechanism_112,Approved,Experimental
Drug_918,Gene_129,Protein_81,Anxiety,SSRI,Mechanism_132,Phase 1,Investigational
Drug_919,Gene_265,Protein_241,Anxiety,Beta-Blocker,Mechanism_177,Phase 2,Investigational
Drug_920,Gene_283,Protein_171,Depression,Azapirone,Mechanism_92,Preclinical,Experimental
Drug_921,Gene_417,Protein_122,Anxiety,Orexin Antagonist,Mechanism_131,Preclinical,Experimental
Drug_922,Gene_117,Protein_189,Psychosis,Azapirone,Mechanism_197,Phase 2,Experimental
Drug_923,Gene_209,Protein_52,Anxiety,SSRI,Mechanism_5,Preclinical,Investigational
Drug_924,Gene_144,Protein_146,Depression,Atypical Antipsychotic,Mechanism_158,Phase 2,Experimental
Drug_925,Gene_479,Protein_139,Depression,NDRI,Mechanism_146,Preclinical,Approved
Drug_926,Gene_6,Protein_147,Anxiety,Psychedelic,Mechanism_54,Approved,Experimental
Drug_927,Gene_425,Protein_39,Anxiety,SNRI,Mechanism_23,Approved,Approved
Drug_928,Gene_430,Protein_126,Psychosis,Azapirone,Mechanism_10,Preclinical,Experimental
Drug_929,Gene_365,Protein_266,Psychosis,Atypical Antipsychotic,Mechanism_108,Phase 3,Investigational
Drug_930,Gene_3,Protein_274,Anxiety,Azapirone,Mechanism_11,Phase 2,Experimental
Drug_931,Gene_373,Protein_34,Anxiety,SSRI,Mechanism_87,Approved,Approved
Drug_932,Gene_92,Protein_7,Depression,Psychedelic,Mechanism_200,Approved,Experimental
Drug_933,Gene_474,Protein_189,Anxiety,Psychedelic,Mechanism_173,Phase 3,Experimental
Drug_934,Gene_293,Protein_250,Depression,NDRI,Mechanism_56,Preclinical,Approved
Drug_935,Gene_301,Protein_4,Psychosis,SSRI,Mechanism_88,Preclinical,Approved
Drug_936,Gene_396,Protein_247,Depression,SNRI,Mechanism_72,Phase 1,Approved
Drug_937,Gene_327,Protein_160,Anxiety,SSRI,Mechanism_78,Preclinical,Investigational
Drug_938,Gene_244,Protein_25,Anxiety,Benzodiazepine,Mechanism_181,Preclinical,Approved
Drug_939,Gene_77,Protein_102,Psychosis,Atypical Antipsychotic,Mechanism_40,Approved,Investigational
Drug_940,Gene_472,Protein_14,Psychosis,Glycine Modulator,Mechanism_38,Phase 2,Investigational
Drug_941,Gene_95,Protein_216,Depression,Beta-Blocker,Mechanism_154,Approved,Experimental
Drug_942,Gene_318,Protein_13,Depression,Benzodiazepine,Mechanism_27,Phase 3,Investigational
Drug_943,Gene_313,Protein_2,Psychosis,Azapirone,Mechanism_150,Phase 3,Investigational
Drug_944,Gene_9,Protein_45,Psychosis,Orexin Antagonist,Mechanism_23,Phase 2,Investigational
Drug_945,Gene_338,Protein_138,Depression,Psychedelic,Mechanism_149,Phase 3,Approved
Drug_946,Gene_357,Protein_193,Psychosis,Glutamatergic Modulator,Mechanism_81,Approved,Approved
Drug_947,Gene_461,Protein_196,Depression,Beta-Blocker,Mechanism_197,Preclinical,Experimental
Drug_948,Gene_108,Protein_169,Psychosis,Psychedelic,Mechanism_16,Phase 2,Investigational
Drug_949,Gene_363,Protein_248,Depression,Azapirone,Mechanism_197,Approved,Investigational
Drug_950,Gene_450,Protein_194,Psychosis,Glycine Modulator,Mechanism_62,Phase 3,Investigational
Drug_951,Gene_251,Protein_150,Anxiety,SSRI,Mechanism_110,Phase 2,Investigational
Drug_952,Gene_332,Protein_199,Depression,SSRI,Mechanism_159,Phase 3,Investigational
Drug_953,Gene_141,Protein_215,Anxiety,Azapirone,Mechanism_65,Phase 1,Investigational
Drug_954,Gene_288,Protein_39,Psychosis,Glycine Modulator,Mechanism_113,Phase 3,Investigational
Drug_955,Gene_255,Protein_64,Anxiety,Atypical Antipsychotic,Mechanism_23,Phase 3,Approved
Drug_956,Gene_83,Protein_215,Anxiety,Psychedelic,Mechanism_18,Preclinical,Investigational
Drug_957,Gene_101,Protein_76,Anxiety,Atypical Antipsychotic,Mechanism_165,Phase 3,Investigational
Drug_958,Gene_86,Protein_233,Psychosis,Benzodiazepine,Mechanism_44,Phase 3,Approved
Drug_959,Gene_438,Protein_240,Anxiety,SNRI,Mechanism_8,Preclinical,Investigational
Drug_960,Gene_194,Protein_123,Psychosis,NDRI,Mechanism_190,Approved,Approved
Drug_961,Gene_71,Protein_123,Anxiety,Orexin Antagonist,Mechanism_198,Phase 3,Approved
Drug_962,Gene_429,Protein_46,Psychosis,Psychedelic,Mechanism_168,Preclinical,Investigational
Drug_963,Gene_142,Protein_85,Depression,Atypical Antipsychotic,Mechanism_8,Approved,Investigational
Drug_964,Gene_296,Protein_272,Psychosis,Atypical Antipsychotic,Mechanism_88,Preclinical,Experimental
Drug_965,Gene_155,Protein_73,Anxiety,Benzodiazepine,Mechanism_136,Phase 3,Investigational
Drug_966,Gene_240,Protein_270,Psychosis,Orexin Antagonist,Mechanism_128,Phase 1,Experimental
Drug_967,Gene_395,Protein_190,Anxiety,Orexin Antagonist,Mechanism_101,Preclinical,Investigational
Drug_968,Gene_215,Protein_145,Depression,SSRI,Mechanism_96,Phase 3,Investigational
Drug_969,Gene_494,Protein_49,Psychosis,Benzodiazepine,Mechanism_170,Phase 3,Investigational
Drug_970,Gene_188,Protein_82,Depression,Glutamatergic Modulator,Mechanism_100,Phase 2,Investigational
Drug_971,Gene_253,Protein_52,Depression,Benzodiazepine,Mechanism_161,Phase 1,Approved
Drug_972,Gene_442,Protein_259,Psychosis,Benzodiazepine,Mechanism_177,Phase 3,Investigational
Drug_973,Gene_121,Protein_106,Psychosis,Glycine Modulator,Mechanism_37,Approved,Experimental
Drug_974,Gene_488,Protein_151,Depression,Glycine Modulator,Mechanism_94,Approved,Approved
Drug_975,Gene_171,Protein_27,Depression,SSRI,Mechanism_73,Preclinical,Experimental
Drug_976,Gene_237,Protein_290,Psychosis,Glutamatergic Modulator,Mechanism_23,Phase 2,Approved
Drug_977,Gene_346,Protein_130,Psychosis,Glutamatergic Modulator,Mechanism_144,Approved,Approved
Drug_978,Gene_462,Protein_265,Anxiety,Orexin Antagonist,Mechanism_145,Phase 1,Experimental
Drug_979,Gene_197,Protein_275,Anxiety,Benzodiazepine,Mechanism_169,Preclinical,Approved
Drug_980,Gene_367,Protein_259,Psychosis,Beta-Blocker,Mechanism_168,Phase 2,Investigational
Drug_981,Gene_400,Protein_28,Anxiety,Benzodiazepine,Mechanism_21,Phase 1,Experimental
Drug_982,Gene_183,Protein_237,Anxiety,Beta-Blocker,Mechanism_181,Preclinical,Approved
Drug_983,Gene_373,Protein_9,Psychosis,Azapirone,Mechanism_136,Phase 3,Approved
Drug_984,Gene_430,Protein_90,Anxiety,NaSSA,Mechanism_179,Approved,Experimental
Drug_985,Gene_274,Protein_261,Anxiety,Orexin Antagonist,Mechanism_8,Phase 1,Approved
Drug_986,Gene_279,Protein_152,Depression,Glycine Modulator,Mechanism_141,Phase 3,Approved
Drug_987,Gene_385,Protein_166,Anxiety,NDRI,Mechanism_157,Phase 1,Experimental
Drug_988,Gene_252,Protein_228,Psychosis,NaSSA,Mechanism_4,Approved,Experimental
Drug_989,Gene_194,Protein_284,Anxiety,Psychedelic,Mechanism_21,Phase 2,Investigational
Drug_990,Gene_230,Protein_247,Psychosis,Beta-Blocker,Mechanism_54,Phase 3,Experimental
Drug_991,Gene_202,Protein_33,Psychosis,Azapirone,Mechanism_29,Phase 1,Approved
Drug_992,Gene_365,Protein_171,Depression,Glycine Modulator,Mechanism_5,Preclinical,Experimental
Drug_993,Gene_465,Protein_45,Anxiety,NDRI,Mechanism_26,Phase 3,Experimental
Drug_994,Gene_18,Protein_14,Psychosis,Orexin Antagonist,Mechanism_28,Phase 3,Experimental
Drug_995,Gene_19,Protein_298,Depression,Glycine Modulator,Mechanism_199,Preclinical,Investigational
Drug_996,Gene_382,Protein_39,Depression,NDRI,Mechanism_170,Phase 2,Experimental
Drug_997,Gene_467,Protein_177,Anxiety,Orexin Antagonist,Mechanism_114,Preclinical,Experimental
Drug_998,Gene_397,Protein_201,Psychosis,Azapirone,Mechanism_58,Phase 2,Approved
Drug_999,Gene_21,Protein_35,Anxiety,Psychedelic,Mechanism_27,Phase 2,Approved
Drug_1000,Gene_54,Protein_214,Anxiety,Glycine Modulator,Mechanism_94,Phase 3,Experimental
